match_id,team_id,scored,conceded,xgoals,passes,accuracy,shots,ontarget,offtarget,possession,tackleswon,corners,offsides,fouls,win,homeaway,rolling_avg_goals,prev_xgoals,prev_possession,prev_shots,prev_ontarget,prev_accuracy,cumulative_points,points_rank,goal_difference,win_streak,matchday,home_team_id,away_team_id,home_score,away_score,season_name,team_name,xg_performance,rolling_xg_performance,home_form_wins,home_form_goals,away_form_wins,away_form_goals,shot_conversion,rolling_shot_conversion,opponent_id,h2h_points,elo_before,opponent_elo_before
38,61,1,2,0.59,358,0.75,9,2,7,0.37,109,5,1,12,False,Home,1.0,1.92,0.43,14.0,4.0,0.82,2,13,-3,0,6,61,55,1,2,2020-2021,Cologne,0.41000000000000003,-0.7050000000000001,0.0,1.5,,,0.1111111111111111,0.0840964590964591,55,0,1467.7650736759376,1540.9526618710886
39,59,1,1,0.61,250,0.72,9,4,5,0.34,98,3,4,14,False,Away,1.4,0.23,0.51,5.0,2.0,0.85,8,6,0,0,6,65,59,1,1,2020-2021,Werder Bremen,0.39,0.41000000000000003,,,1.0,3.0,0.1111111111111111,0.14453781512605043,65,0,1519.8756187745576,1515.6093033443044
39,65,1,1,2.01,669,0.88,14,5,9,0.66,120,5,4,12,False,Home,1.4,0.4,0.37,9.0,3.0,0.78,9,3,-2,0,6,65,59,1,1,2020-2021,Eintracht Frankfurt,-1.0099999999999998,-0.512,1.0,1.5,,,0.07142857142857142,0.10315656565656565,59,0,1515.6093033443044,1519.8756187745576
40,72,4,2,1.19,579,0.85,18,7,11,0.59,83,6,3,11,True,Away,1.8,3.13,0.63,15.0,7.0,0.87,11,1,5,4,6,58,72,2,4,2020-2021,Bayer Leverkusen,2.81,-0.2025,,,1.0,0.6666666666666666,0.2222222222222222,0.09444444444444444,58,0,1537.7623958332235,1497.7659489437324
40,58,2,4,1.21,365,0.79,8,5,3,0.41,94,4,3,10,False,Home,1.5,0.37,0.37,6.0,2.0,0.81,4,9,-5,0,6,58,72,2,4,2020-2021,Freiburg,0.79,0.013333333333333308,0.0,1.0,,,0.25,0.15873015873015872,72,0,1497.7659489437324,1537.7623958332235
41,71,1,1,0.51,353,0.76,11,4,7,0.5,118,6,2,15,False,Away,1.0,1.56,0.49,14.0,4.0,0.82,8,6,1,0,6,60,71,1,1,2020-2021,Wolfsburg,0.49,-0.368,,,0.0,1.0,0.09090909090909091,0.06785714285714287,60,0,1521.787818136356,1462.292764002599
41,60,1,1,1.51,383,0.79,18,5,13,0.5,109,8,3,8,False,Home,1.4,1.0,0.6,11.0,3.0,0.71,4,9,-2,0,6,60,71,1,1,2020-2021,Hertha Berlin,-0.51,0.2,0.0,0.5,,,0.05555555555555555,0.12048368298368299,71,0,1462.292764002599,1521.787818136356
42,63,3,1,3.35,347,0.8,9,6,3,0.41,83,6,3,13,True,Away,1.5,1.24,0.46,13.0,7.0,0.77,5,8,0,2,6,62,63,1,3,2020-2021,Union Berlin,-0.3500000000000001,-0.22999999999999998,,,0.0,1.0,0.3333333333333333,0.07167277167277168,62,0,1477.9020292469982,1501.2746101040825
42,62,1,3,1.33,529,0.85,10,5,5,0.59,76,3,2,19,False,Home,1.5,1.23,0.49,15.0,5.0,0.86,4,9,-2,0,6,62,63,1,3,2020-2021,Hoffenheim,-0.33000000000000007,-0.11999999999999995,,,,,0.1,0.12692307692307692,63,0,1501.2746101040825,1477.9020292469982
43,61,1,1,0.48,305,0.81,8,1,7,0.38,93,3,1,20,False,Away,0.8,0.59,0.37,9.0,2.0,0.75,3,7,-3,0,7,59,61,1,1,2020-2021,Cologne,0.52,-0.48200000000000004,,,0.0,0.5,0.125,0.08949938949938949,59,0,1451.916860677787,1519.6300422597026
